Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Not motivated,Always distracted,Not motivated,Drained,Quick to anger,Drained,No energy at all,Drained,Easily distracted,Foggy mind,Loses focus,Low mood,Low mood,Always distracted,I recharge through entertainment,Quick to anger,Foggy mind,Drained,Loses focus,Not motivated,At Risk
I recharge through entertainment,Ready to go,Good focus,Sharp memory,Clear-minded,Not motivated,Always distracted,Low mood,Indifferent,Always distracted,Challenging but good,Easily distracted,In good physical condition,Foggy mind,No energy at all,Few mistakes,Loses focus,Drained,Few mistakes,Always distracted,At Risk
Not motivated,No energy at all,Indifferent,Indifferent,Indifferent,Not motivated,Drained,Easily distracted,Easily distracted,Easily distracted,I recharge through entertainment,Easily distracted,Invested,No energy at all,Forgetful,Quick to anger,Few mistakes,Foggy mind,Easily distracted,Easily distracted,At Risk
Quick to anger,Low mood,I recharge through entertainment,Drained,Clear-minded,No energy at all,Good stamina,I recharge through entertainment,Always distracted,No energy at all,Loses focus,Good stamina,Low mood,Forgetful,Enthusiastic,Not motivated,Clear-minded,Few mistakes,Forgetful,Always distracted,At Risk
Loses focus,Loses focus,Forgetful,Easily distracted,Easily distracted,Always distracted,Quick to anger,Quick to anger,Loses focus,Not motivated,Clear-minded,Easily distracted,Quick to anger,Forgetful,I recharge through entertainment,Foggy mind,Always distracted,No energy at all,Low mood,Self-aware,At Risk
Indifferent,Low mood,Foggy mind,Loses focus,Not motivated,Always distracted,Loses focus,Quick to anger,Mostly engaged,Foggy mind,Positive outlook,Drained,Indifferent,Foggy mind,Low mood,Quick to anger,Indifferent,Easily distracted,Forgetful,Focused,At Risk
Not motivated,Foggy mind,Loses focus,Always distracted,Self-aware,I recharge through entertainment,Always distracted,Forgetful,Foggy mind,Easily distracted,Easily distracted,Emotionally stable,No energy at all,Easily distracted,Easily distracted,Foggy mind,Quick to anger,Not motivated,Low mood,No energy at all,At Risk
Focused,Indifferent,Always distracted,Not motivated,No energy at all,Foggy mind,Always distracted,Invested,Positive outlook,Ready to go,In good physical condition,Challenging but good,Not motivated,Not motivated,Forgetful,Loses focus,Focused,Drained,Challenging but good,In good physical condition,At Risk
Challenging but good,Not motivated,Challenging but good,Drained,Good focus,Loses focus,Loses focus,Ready to go,I recharge through entertainment,Challenging but good,Mostly engaged,Always distracted,Drained,Foggy mind,Invested,No energy at all,In good physical condition,Not motivated,Loses focus,Indifferent,At Risk
Always distracted,Foggy mind,Drained,Drained,Indifferent,Quick to anger,Low mood,Good focus,Indifferent,Not motivated,Loses focus,Clear-minded,Drained,Sharp memory,No energy at all,Not motivated,Foggy mind,Indifferent,Forgetful,Forgetful,At Risk
Easily distracted,Quick to anger,Foggy mind,Quick to anger,Easily distracted,Always distracted,Indifferent,Drained,Always distracted,Ready to go,I recharge through entertainment,Forgetful,Loses focus,No energy at all,I recharge through entertainment,In good physical condition,Loses focus,Indifferent,Positive outlook,Always distracted,At Risk
Easily distracted,Forgetful,Quick to anger,Forgetful,Always distracted,Always distracted,No energy at all,Loses focus,Foggy mind,Not motivated,Always distracted,Loses focus,Quick to anger,Drained,Low mood,Always distracted,Always distracted,Drained,Easily distracted,No energy at all,At Risk
Clear-minded,Always distracted,No energy at all,Emotionally stable,Forgetful,Always distracted,No energy at all,Focused,Enthusiastic,Indifferent,Quick to anger,Not motivated,Good focus,In good physical condition,Loses focus,Quick to anger,Focused,Not motivated,Always distracted,Quick to anger,At Risk
Indifferent,Not motivated,Emotionally stable,No energy at all,Always distracted,Not motivated,Invested,Positive outlook,Foggy mind,Always distracted,Forgetful,Drained,Not motivated,Not motivated,Enthusiastic,Few mistakes,I recharge through entertainment,Low mood,Indifferent,No energy at all,At Risk
Easily distracted,Quick to anger,Always distracted,Enthusiastic,Invested,Positive outlook,Good stamina,Low mood,Good stamina,Indifferent,Positive outlook,Indifferent,Forgetful,Loses focus,Few mistakes,Mostly engaged,Forgetful,Indifferent,Loses focus,Drained,At Risk
Low mood,Always distracted,In good physical condition,Easily distracted,Clear-minded,Quick to anger,Mostly engaged,Forgetful,Low mood,No energy at all,Drained,Good stamina,Foggy mind,Not motivated,Not motivated,No energy at all,Quick to anger,Not motivated,Good stamina,Foggy mind,At Risk
Mostly engaged,Low mood,No energy at all,Quick to anger,Not motivated,Loses focus,Drained,No energy at all,Foggy mind,Quick to anger,Always distracted,Always distracted,Forgetful,No energy at all,In good physical condition,Loses focus,Low mood,Low mood,Indifferent,Loses focus,At Risk
Not motivated,Drained,Drained,Quick to anger,Quick to anger,Always distracted,Drained,Drained,Refreshed,Quick to anger,Loses focus,In good physical condition,Self-aware,Always distracted,Always distracted,Easily distracted,Ready to go,Not motivated,Good stamina,Patient,At Risk
Forgetful,No energy at all,Quick to anger,Loses focus,Not motivated,Quick to anger,No energy at all,Foggy mind,I recharge through entertainment,Forgetful,Forgetful,Low mood,Ready to go,No energy at all,Drained,Easily distracted,Indifferent,Foggy mind,Good focus,Patient,At Risk
Foggy mind,Mostly engaged,Focused,Always distracted,Ready to go,Loses focus,Ready to go,Foggy mind,Low mood,Not motivated,Easily distracted,Loses focus,Low mood,Forgetful,Forgetful,Indifferent,Patient,Forgetful,Quick to anger,Low mood,At Risk
Self-aware,Not motivated,Easily distracted,Ready to go,Challenging but good,No energy at all,Sharp memory,Easily distracted,Quick to anger,Quick to anger,No energy at all,Easily distracted,Refreshed,Foggy mind,Drained,Challenging but good,Foggy mind,Loses focus,Drained,No energy at all,At Risk
Low mood,Sharp memory,Mostly engaged,Quick to anger,Few mistakes,Patient,No energy at all,Foggy mind,Quick to anger,Drained,Positive outlook,Easily distracted,Low mood,Indifferent,Emotionally stable,Forgetful,Patient,Easily distracted,Invested,Patient,At Risk
Good focus,No energy at all,I recharge through entertainment,Easily distracted,Not motivated,Drained,Easily distracted,No energy at all,Quick to anger,Quick to anger,Drained,Quick to anger,Quick to anger,Challenging but good,Loses focus,Few mistakes,Foggy mind,Positive outlook,Refreshed,Drained,At Risk
Loses focus,Quick to anger,Self-aware,Emotionally stable,Not motivated,Always distracted,In good physical condition,Drained,Always distracted,No energy at all,Forgetful,Loses focus,Quick to anger,No energy at all,Good focus,Foggy mind,Patient,Indifferent,Forgetful,Not motivated,At Risk
Loses focus,Enthusiastic,Always distracted,Positive outlook,Loses focus,Foggy mind,No energy at all,Foggy mind,Foggy mind,Indifferent,Invested,Drained,Refreshed,Drained,Foggy mind,Indifferent,Not motivated,Not motivated,Self-aware,Always distracted,At Risk
Refreshed,Refreshed,Loses focus,Loses focus,Not motivated,Self-aware,Indifferent,Few mistakes,Not motivated,Good focus,Loses focus,In good physical condition,Refreshed,Not motivated,Always distracted,Positive outlook,Drained,Loses focus,Forgetful,Patient,At Risk
Drained,Low mood,Good stamina,No energy at all,Easily distracted,Always distracted,In good physical condition,No energy at all,Mostly engaged,Always distracted,Drained,Always distracted,Indifferent,Ready to go,Foggy mind,Not motivated,Not motivated,Drained,Patient,Loses focus,At Risk
Not motivated,Always distracted,Not motivated,Low mood,No energy at all,Drained,Not motivated,Easily distracted,Easily distracted,Low mood,Patient,Easily distracted,Not motivated,Forgetful,Quick to anger,Always distracted,Easily distracted,Refreshed,Low mood,Quick to anger,At Risk
Not motivated,Low mood,Loses focus,Enthusiastic,Always distracted,Mostly engaged,Drained,Self-aware,Emotionally stable,Challenging but good,Low mood,Not motivated,Low mood,Forgetful,Low mood,In good physical condition,Always distracted,Mostly engaged,Self-aware,Easily distracted,At Risk
No energy at all,Good stamina,Quick to anger,Quick to anger,Always distracted,No energy at all,Quick to anger,Quick to anger,Forgetful,Always distracted,Good focus,Good focus,Forgetful,Always distracted,Low mood,Enthusiastic,Patient,Refreshed,Patient,Forgetful,At Risk
Indifferent,Always distracted,Quick to anger,Easily distracted,Not motivated,Not motivated,Quick to anger,Foggy mind,Drained,Indifferent,No energy at all,Always distracted,Quick to anger,Drained,No energy at all,Quick to anger,No energy at all,Foggy mind,Not motivated,No energy at all,At Risk
Quick to anger,Sharp memory,Not motivated,Forgetful,Forgetful,Always distracted,Drained,Forgetful,Loses focus,Good stamina,Drained,Forgetful,Quick to anger,Loses focus,Loses focus,Clear-minded,Quick to anger,Always distracted,Not motivated,Few mistakes,At Risk
Self-aware,Ready to go,Forgetful,Not motivated,Easily distracted,Always distracted,Invested,Positive outlook,Forgetful,Positive outlook,No energy at all,Loses focus,Not motivated,Low mood,Always distracted,In good physical condition,Drained,Emotionally stable,Loses focus,Drained,At Risk
Easily distracted,Always distracted,Forgetful,Quick to anger,Quick to anger,Sharp memory,Low mood,Low mood,No energy at all,Quick to anger,Foggy mind,Foggy mind,Drained,Forgetful,Always distracted,Loses focus,Quick to anger,Quick to anger,Easily distracted,Foggy mind,At Risk
Foggy mind,Loses focus,Not motivated,Indifferent,Loses focus,Indifferent,Mostly engaged,Always distracted,Quick to anger,Easily distracted,Drained,No energy at all,Quick to anger,Good stamina,Good stamina,In good physical condition,Forgetful,Forgetful,Easily distracted,Not motivated,At Risk
No energy at all,Drained,Indifferent,No energy at all,Ready to go,Foggy mind,Easily distracted,Not motivated,Not motivated,Quick to anger,Not motivated,No energy at all,Foggy mind,Indifferent,Quick to anger,Not motivated,Indifferent,Foggy mind,Quick to anger,Quick to anger,At Risk
No energy at all,Foggy mind,Easily distracted,Self-aware,Loses focus,Indifferent,Challenging but good,No energy at all,Forgetful,Not motivated,Loses focus,Drained,Foggy mind,Not motivated,Good focus,Good focus,Quick to anger,Always distracted,Foggy mind,Loses focus,At Risk
Foggy mind,In good physical condition,Not motivated,Drained,Indifferent,Not motivated,Forgetful,Forgetful,Few mistakes,Foggy mind,Mostly engaged,Low mood,Quick to anger,Foggy mind,Foggy mind,Mostly engaged,Drained,Always distracted,No energy at all,Quick to anger,At Risk
Forgetful,Not motivated,No energy at all,Quick to anger,Patient,No energy at all,No energy at all,Indifferent,Forgetful,Easily distracted,Emotionally stable,Always distracted,Not motivated,Easily distracted,No energy at all,No energy at all,Refreshed,Forgetful,Easily distracted,No energy at all,At Risk
In good physical condition,Quick to anger,Not motivated,Low mood,Patient,Challenging but good,Low mood,Quick to anger,Forgetful,Drained,Low mood,No energy at all,Quick to anger,Foggy mind,Forgetful,Quick to anger,Low mood,Easily distracted,Low mood,Low mood,At Risk
Indifferent,Loses focus,Loses focus,Easily distracted,In good physical condition,Enthusiastic,Patient,In good physical condition,Loses focus,Focused,Few mistakes,Loses focus,Ready to go,Focused,Not motivated,Low mood,Ready to go,Indifferent,Indifferent,Always distracted,At Risk
Always distracted,Not motivated,Quick to anger,No energy at all,Easily distracted,Easily distracted,Forgetful,Drained,Drained,Foggy mind,Quick to anger,Indifferent,Loses focus,Loses focus,Indifferent,Quick to anger,No energy at all,Drained,Foggy mind,Always distracted,At Risk
Always distracted,No energy at all,Easily distracted,No energy at all,Always distracted,Always distracted,Easily distracted,Drained,Not motivated,Indifferent,Not motivated,Foggy mind,Quick to anger,Quick to anger,Easily distracted,Forgetful,Loses focus,Low mood,Drained,Quick to anger,At Risk
Foggy mind,No energy at all,Foggy mind,Foggy mind,Not motivated,Low mood,No energy at all,Quick to anger,Foggy mind,Always distracted,Drained,Quick to anger,Forgetful,Easily distracted,Low mood,Drained,Easily distracted,Easily distracted,Quick to anger,Forgetful,At Risk
Self-aware,Forgetful,Emotionally stable,Low mood,Low mood,Low mood,No energy at all,Always distracted,No energy at all,Refreshed,No energy at all,Low mood,No energy at all,Indifferent,Drained,Loses focus,Always distracted,Mostly engaged,No energy at all,Low mood,At Risk
Not motivated,Few mistakes,Drained,Always distracted,Loses focus,Positive outlook,Invested,Always distracted,Low mood,No energy at all,Good focus,Foggy mind,Drained,Easily distracted,Indifferent,Self-aware,Not motivated,In good physical condition,In good physical condition,Clear-minded,At Risk
Loses focus,Emotionally stable,Easily distracted,No energy at all,Invested,Loses focus,Always distracted,Easily distracted,Not motivated,No energy at all,Quick to anger,I recharge through entertainment,Not motivated,Focused,Good focus,Positive outlook,Quick to anger,Invested,Not motivated,Not motivated,At Risk
Easily distracted,Drained,Easily distracted,Always distracted,Foggy mind,Foggy mind,Easily distracted,Mostly engaged,Always distracted,Low mood,In good physical condition,Quick to anger,Indifferent,Quick to anger,Always distracted,Emotionally stable,Not motivated,Quick to anger,Drained,Forgetful,At Risk
Invested,Loses focus,Always distracted,Drained,In good physical condition,Forgetful,Indifferent,Mostly engaged,Few mistakes,Quick to anger,Sharp memory,Always distracted,No energy at all,Ready to go,Indifferent,Forgetful,Challenging but good,Challenging but good,No energy at all,Positive outlook,At Risk
Invested,Low mood,Easily distracted,Ready to go,Easily distracted,Sharp memory,Not motivated,Low mood,Refreshed,Drained,No energy at all,Quick to anger,Not motivated,Not motivated,Forgetful,No energy at all,Challenging but good,Foggy mind,Forgetful,Loses focus,At Risk
Refreshed,Few mistakes,Mostly engaged,Always distracted,Loses focus,Invested,Drained,Clear-minded,Foggy mind,Patient,Refreshed,Forgetful,Low mood,Focused,Low mood,Loses focus,Low mood,Quick to anger,Forgetful,I recharge through entertainment,At Risk
Mostly engaged,Indifferent,Low mood,Low mood,Invested,Positive outlook,Invested,Loses focus,Indifferent,Refreshed,Drained,Low mood,Low mood,Always distracted,Indifferent,Always distracted,I recharge through entertainment,Foggy mind,I recharge through entertainment,Indifferent,At Risk
Not motivated,In good physical condition,Good focus,No energy at all,Easily distracted,Ready to go,Easily distracted,No energy at all,Easily distracted,Few mistakes,No energy at all,No energy at all,Loses focus,Always distracted,Loses focus,Indifferent,Low mood,Foggy mind,Enthusiastic,Ready to go,At Risk
Few mistakes,No energy at all,Clear-minded,Drained,Indifferent,Not motivated,Not motivated,Positive outlook,Quick to anger,Always distracted,Forgetful,Low mood,Indifferent,Invested,No energy at all,Refreshed,Clear-minded,Challenging but good,Drained,Forgetful,At Risk
Clear-minded,Indifferent,Refreshed,No energy at all,Quick to anger,Quick to anger,Ready to go,Not motivated,No energy at all,Easily distracted,Few mistakes,Invested,Patient,Ready to go,Not motivated,Always distracted,Emotionally stable,Good stamina,Easily distracted,Low mood,At Risk
Quick to anger,Foggy mind,Positive outlook,Indifferent,In good physical condition,Focused,Low mood,Easily distracted,Foggy mind,Forgetful,Foggy mind,Refreshed,Indifferent,Foggy mind,Sharp memory,Forgetful,Quick to anger,Not motivated,Loses focus,Loses focus,At Risk
Low mood,Drained,Foggy mind,Focused,Not motivated,Foggy mind,Forgetful,Quick to anger,Low mood,Loses focus,Not motivated,Loses focus,Foggy mind,Not motivated,No energy at all,Always distracted,Clear-minded,Easily distracted,Indifferent,Drained,At Risk
Refreshed,Not motivated,Easily distracted,Refreshed,Ready to go,Indifferent,Indifferent,Good stamina,Not motivated,Foggy mind,Challenging but good,Indifferent,Easily distracted,Emotionally stable,Ready to go,Always distracted,Not motivated,Good focus,Emotionally stable,No energy at all,At Risk
Always distracted,Emotionally stable,No energy at all,Focused,Always distracted,Low mood,Foggy mind,Always distracted,Quick to anger,Low mood,Loses focus,Invested,Low mood,Good focus,Easily distracted,Loses focus,Loses focus,Quick to anger,Patient,Invested,At Risk
Easily distracted,Patient,Loses focus,Patient,Low mood,Indifferent,Always distracted,Low mood,Always distracted,Good focus,Clear-minded,Easily distracted,Mostly engaged,Invested,Quick to anger,Foggy mind,Forgetful,Forgetful,Forgetful,Low mood,At Risk
Indifferent,Not motivated,No energy at all,Quick to anger,Easily distracted,No energy at all,Forgetful,Low mood,Foggy mind,Indifferent,Forgetful,No energy at all,Quick to anger,No energy at all,No energy at all,Drained,Indifferent,Drained,Foggy mind,No energy at all,At Risk
Foggy mind,Positive outlook,Mostly engaged,Ready to go,No energy at all,Forgetful,Drained,Forgetful,Drained,Mostly engaged,Enthusiastic,Easily distracted,Challenging but good,Always distracted,Forgetful,Sharp memory,Self-aware,Always distracted,Loses focus,Foggy mind,At Risk
Always distracted,Foggy mind,Forgetful,Foggy mind,Foggy mind,Foggy mind,Loses focus,Loses focus,Drained,Foggy mind,Self-aware,Foggy mind,Indifferent,Drained,Quick to anger,Not motivated,Loses focus,Not motivated,No energy at all,Loses focus,At Risk
No energy at all,Foggy mind,No energy at all,Loses focus,Indifferent,Indifferent,Loses focus,Indifferent,Easily distracted,Not motivated,Clear-minded,Few mistakes,No energy at all,Always distracted,Loses focus,Always distracted,Foggy mind,Easily distracted,Foggy mind,Forgetful,At Risk
Loses focus,Quick to anger,Indifferent,No energy at all,Drained,Not motivated,Foggy mind,No energy at all,Foggy mind,Low mood,Drained,Indifferent,Forgetful,Forgetful,Not motivated,Ready to go,Not motivated,Foggy mind,Always distracted,Indifferent,At Risk
Mostly engaged,Ready to go,I recharge through entertainment,Quick to anger,Always distracted,Foggy mind,Always distracted,No energy at all,Loses focus,Not motivated,Focused,Always distracted,Low mood,Loses focus,Clear-minded,Not motivated,Not motivated,No energy at all,Forgetful,Foggy mind,At Risk
Patient,Positive outlook,Not motivated,Focused,Positive outlook,Loses focus,Always distracted,Forgetful,Foggy mind,Emotionally stable,Indifferent,Loses focus,Challenging but good,Forgetful,Forgetful,Few mistakes,Drained,Drained,Loses focus,Good stamina,At Risk
Drained,Refreshed,Foggy mind,Mostly engaged,Refreshed,Mostly engaged,Not motivated,Enthusiastic,Forgetful,No energy at all,Foggy mind,Refreshed,Sharp memory,No energy at all,Low mood,Sharp memory,Indifferent,Easily distracted,Drained,Low mood,At Risk
Mostly engaged,Not motivated,Not motivated,Enthusiastic,Always distracted,Quick to anger,No energy at all,Loses focus,Positive outlook,Ready to go,Quick to anger,Indifferent,Easily distracted,Good stamina,Focused,Mostly engaged,Emotionally stable,Clear-minded,No energy at all,Forgetful,At Risk
Always distracted,Drained,Foggy mind,Forgetful,Indifferent,Not motivated,Always distracted,Forgetful,Self-aware,Enthusiastic,Loses focus,Patient,Indifferent,Challenging but good,Good focus,Easily distracted,Always distracted,Indifferent,No energy at all,Indifferent,At Risk
No energy at all,Indifferent,Drained,Sharp memory,Low mood,Quick to anger,Sharp memory,Quick to anger,Low mood,Not motivated,Easily distracted,Always distracted,Loses focus,Low mood,Indifferent,Indifferent,Foggy mind,Quick to anger,In good physical condition,Loses focus,At Risk
Not motivated,Indifferent,Easily distracted,Easily distracted,Positive outlook,Not motivated,Loses focus,Indifferent,Self-aware,Low mood,Always distracted,Indifferent,No energy at all,Indifferent,Quick to anger,Drained,Quick to anger,Drained,Low mood,Loses focus,At Risk
No energy at all,Easily distracted,Foggy mind,Forgetful,Indifferent,Quick to anger,Forgetful,Good stamina,Invested,Forgetful,Self-aware,Invested,Enthusiastic,Indifferent,No energy at all,Quick to anger,Drained,Invested,Not motivated,Focused,At Risk
Quick to anger,Few mistakes,Easily distracted,Loses focus,Indifferent,Forgetful,Quick to anger,Low mood,Forgetful,Indifferent,Emotionally stable,Foggy mind,Quick to anger,Quick to anger,Not motivated,Loses focus,Good stamina,Always distracted,Loses focus,Not motivated,At Risk
Challenging but good,Not motivated,Loses focus,Foggy mind,I recharge through entertainment,I recharge through entertainment,Easily distracted,Enthusiastic,Loses focus,Refreshed,Indifferent,I recharge through entertainment,Indifferent,Loses focus,Always distracted,Mostly engaged,Low mood,Always distracted,Always distracted,Sharp memory,At Risk
Forgetful,Always distracted,Drained,Quick to anger,Good focus,No energy at all,Easily distracted,Foggy mind,Loses focus,Patient,Loses focus,Low mood,Enthusiastic,Always distracted,Clear-minded,No energy at all,Forgetful,Loses focus,Refreshed,Refreshed,At Risk
Loses focus,Not motivated,Foggy mind,Indifferent,Easily distracted,Focused,Good focus,Good stamina,Emotionally stable,Not motivated,No energy at all,Drained,Positive outlook,No energy at all,In good physical condition,Foggy mind,No energy at all,Clear-minded,Forgetful,Drained,At Risk
Enthusiastic,Drained,Low mood,Loses focus,Quick to anger,Refreshed,Patient,Good stamina,No energy at all,Loses focus,Quick to anger,Forgetful,Good focus,Forgetful,No energy at all,Indifferent,Challenging but good,Not motivated,Indifferent,Indifferent,At Risk
Always distracted,Indifferent,Not motivated,Challenging but good,Indifferent,Foggy mind,No energy at all,No energy at all,No energy at all,Indifferent,Foggy mind,Low mood,In good physical condition,Drained,Forgetful,Not motivated,Drained,Always distracted,No energy at all,No energy at all,At Risk
Quick to anger,Drained,Forgetful,Foggy mind,Mostly engaged,Positive outlook,Clear-minded,Not motivated,Forgetful,Loses focus,Low mood,Quick to anger,Not motivated,Few mistakes,Forgetful,Emotionally stable,No energy at all,Quick to anger,Indifferent,Few mistakes,At Risk
Indifferent,Not motivated,Indifferent,Not motivated,No energy at all,Foggy mind,Easily distracted,Clear-minded,Quick to anger,No energy at all,Foggy mind,Forgetful,Positive outlook,Quick to anger,Sharp memory,Indifferent,Loses focus,Quick to anger,Always distracted,No energy at all,At Risk
Always distracted,Not motivated,Positive outlook,Always distracted,No energy at all,Indifferent,Indifferent,Low mood,Clear-minded,Always distracted,Indifferent,Quick to anger,Quick to anger,Challenging but good,Low mood,Always distracted,Always distracted,Low mood,Invested,Few mistakes,At Risk
Low mood,Loses focus,Quick to anger,Not motivated,No energy at all,Sharp memory,Drained,Not motivated,Forgetful,Foggy mind,Foggy mind,Indifferent,Quick to anger,Sharp memory,Refreshed,Easily distracted,No energy at all,Focused,Quick to anger,Always distracted,At Risk
Quick to anger,Patient,Self-aware,Always distracted,Easily distracted,Good stamina,Always distracted,Always distracted,Foggy mind,Loses focus,Always distracted,Few mistakes,Ready to go,Forgetful,Emotionally stable,Quick to anger,Clear-minded,Quick to anger,Patient,Forgetful,At Risk
Quick to anger,Indifferent,In good physical condition,No energy at all,Easily distracted,Indifferent,Clear-minded,Good stamina,Foggy mind,Always distracted,Quick to anger,No energy at all,Indifferent,Not motivated,No energy at all,Self-aware,Patient,Always distracted,Easily distracted,Invested,At Risk
Drained,In good physical condition,No energy at all,Forgetful,Loses focus,Loses focus,Focused,No energy at all,Forgetful,Quick to anger,Indifferent,Forgetful,Easily distracted,Foggy mind,Forgetful,Good stamina,Good focus,Not motivated,Forgetful,Easily distracted,At Risk
Easily distracted,Easily distracted,Low mood,Refreshed,Indifferent,Quick to anger,Low mood,Forgetful,Low mood,Easily distracted,Easily distracted,Quick to anger,Always distracted,Loses focus,Drained,Always distracted,Drained,Quick to anger,Not motivated,Indifferent,At Risk
Forgetful,Self-aware,Drained,No energy at all,Indifferent,Quick to anger,Low mood,No energy at all,Quick to anger,Quick to anger,Loses focus,Ready to go,Not motivated,Indifferent,Not motivated,Low mood,Loses focus,Not motivated,No energy at all,No energy at all,At Risk
Self-aware,Forgetful,Good focus,Loses focus,Quick to anger,Sharp memory,No energy at all,Enthusiastic,Enthusiastic,Good focus,Few mistakes,Not motivated,Easily distracted,Not motivated,Indifferent,Foggy mind,Not motivated,Challenging but good,Always distracted,Always distracted,At Risk
Emotionally stable,Low mood,Low mood,Forgetful,Indifferent,Forgetful,Good focus,Always distracted,I recharge through entertainment,Loses focus,Loses focus,Forgetful,No energy at all,Indifferent,Challenging but good,Forgetful,Drained,Drained,Always distracted,Always distracted,At Risk
