Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Not motivated,Patient,Invested,Drained,Good focus,Indifferent,Enthusiastic,Focused,Good stamina,Refreshed,Good focus,Ready to go,Mostly engaged,Clear-minded,Refreshed,Enthusiastic,Refreshed,In good physical condition,In good physical condition,Self-aware,Normal
Invested,Emotionally stable,In good physical condition,Challenging but good,Invested,I recharge through entertainment,Invested,Few mistakes,Challenging but good,Mostly engaged,Sharp memory,Sharp memory,Ready to go,Indifferent,Positive outlook,Focused,Ready to go,Invested,In good physical condition,Drained,Normal
Patient,Invested,Ready to go,Foggy mind,Challenging but good,Self-aware,Refreshed,Sharp memory,Emotionally stable,Mostly engaged,Clear-minded,Positive outlook,Good focus,Positive outlook,Challenging but good,Enthusiastic,Clear-minded,Positive outlook,Refreshed,Low mood,Normal
Good stamina,Good stamina,Few mistakes,Self-aware,Self-aware,Positive outlook,Ready to go,Self-aware,In good physical condition,Challenging but good,Low mood,Focused,Enthusiastic,Few mistakes,Invested,Few mistakes,In good physical condition,Emotionally stable,Challenging but good,Positive outlook,Normal
Positive outlook,Challenging but good,Always distracted,Emotionally stable,Rarely feel tired,Mostly engaged,Mostly engaged,Quick to anger,Sharp memory,Self-aware,Always distracted,In good physical condition,Positive outlook,Good stamina,Self-aware,Focused,Indifferent,Clear-minded,Focused,In good physical condition,Normal
Sharp memory,In good physical condition,Good focus,Good focus,Patient,Foggy mind,Patient,Self-aware,Good stamina,Rarely feel tired,Patient,Ready to go,Indifferent,In good physical condition,Indifferent,Not motivated,Sharp memory,Indifferent,Refreshed,Good stamina,Normal
Indifferent,Challenging but good,Rarely feel tired,Refreshed,Positive outlook,Positive outlook,Challenging but good,Invested,Enthusiastic,I recharge through entertainment,Rarely feel tired,Good stamina,Refreshed,Emotionally stable,Drained,Indifferent,Invested,Good focus,Emotionally stable,Invested,Normal
Focused,Loses focus,Sharp memory,Drained,Mostly engaged,In good physical condition,Self-aware,Emotionally stable,Patient,Focused,Ready to go,Rarely feel tired,I recharge through entertainment,I recharge through entertainment,Invested,Easily distracted,Challenging but good,Ready to go,Enthusiastic,Loses focus,Normal
Challenging but good,Challenging but good,Clear-minded,Clear-minded,Good focus,In good physical condition,Challenging but good,Good stamina,In good physical condition,Good focus,Loses focus,Not motivated,In good physical condition,Enthusiastic,Invested,Ready to go,In good physical condition,Sharp memory,Invested,In good physical condition,Normal
Emotionally stable,Sharp memory,Good focus,Sharp memory,Challenging but good,Focused,Positive outlook,Good focus,Enthusiastic,Few mistakes,Few mistakes,Ready to go,Positive outlook,Enthusiastic,Patient,Clear-minded,Good focus,Refreshed,Self-aware,Challenging but good,Normal
Loses focus,Invested,Refreshed,Loses focus,Few mistakes,Drained,Patient,Focused,Few mistakes,Mostly engaged,Forgetful,In good physical condition,Few mistakes,Emotionally stable,Indifferent,Refreshed,Clear-minded,Positive outlook,No energy at all,I recharge through entertainment,Normal
Forgetful,Invested,Mostly engaged,Sharp memory,Enthusiastic,Patient,Drained,Challenging but good,Refreshed,Challenging but good,Quick to anger,Good focus,Low mood,Few mistakes,Enthusiastic,Focused,Challenging but good,Enthusiastic,Low mood,Emotionally stable,Normal
Foggy mind,Easily distracted,Focused,Always distracted,Indifferent,I recharge through entertainment,Low mood,In good physical condition,Good stamina,Few mistakes,Few mistakes,Rarely feel tired,Enthusiastic,Invested,Not motivated,Ready to go,Self-aware,Positive outlook,Enthusiastic,I recharge through entertainment,Normal
Challenging but good,Sharp memory,Refreshed,I recharge through entertainment,Clear-minded,Patient,Refreshed,Enthusiastic,Invested,Few mistakes,Enthusiastic,Positive outlook,Challenging but good,I recharge through entertainment,Clear-minded,Invested,In good physical condition,Patient,Good focus,Self-aware,Normal
Clear-minded,No energy at all,In good physical condition,Self-aware,Challenging but good,Sharp memory,Forgetful,Not motivated,Clear-minded,Clear-minded,Refreshed,Positive outlook,Invested,Focused,Loses focus,Mostly engaged,Easily distracted,Patient,Positive outlook,Ready to go,Normal
Few mistakes,Few mistakes,Low mood,Ready to go,I recharge through entertainment,Patient,Drained,Enthusiastic,No energy at all,Quick to anger,Low mood,Sharp memory,I recharge through entertainment,Always distracted,Enthusiastic,Ready to go,Focused,Always distracted,Focused,Good stamina,Normal
Easily distracted,Self-aware,Loses focus,Patient,Rarely feel tired,Not motivated,Mostly engaged,Mostly engaged,Sharp memory,Focused,In good physical condition,I recharge through entertainment,Mostly engaged,Foggy mind,Emotionally stable,Positive outlook,Few mistakes,Positive outlook,Sharp memory,Low mood,Normal
Clear-minded,Focused,Enthusiastic,Foggy mind,Clear-minded,I recharge through entertainment,Mostly engaged,Rarely feel tired,Patient,Refreshed,Enthusiastic,Invested,Good focus,Sharp memory,Invested,I recharge through entertainment,Always distracted,Refreshed,Invested,In good physical condition,Normal
Invested,Mostly engaged,Clear-minded,Focused,Patient,No energy at all,Sharp memory,Positive outlook,In good physical condition,Good focus,Patient,Patient,Ready to go,Focused,Ready to go,Easily distracted,Mostly engaged,Few mistakes,Good stamina,Few mistakes,Normal
Sharp memory,Self-aware,Forgetful,In good physical condition,Drained,Forgetful,Mostly engaged,Refreshed,Sharp memory,Refreshed,Invested,Patient,In good physical condition,I recharge through entertainment,Positive outlook,Positive outlook,Sharp memory,Loses focus,No energy at all,I recharge through entertainment,Normal
Foggy mind,Easily distracted,Clear-minded,Enthusiastic,Rarely feel tired,Emotionally stable,Emotionally stable,Clear-minded,I recharge through entertainment,I recharge through entertainment,Self-aware,Self-aware,Positive outlook,Good focus,Enthusiastic,Rarely feel tired,Emotionally stable,Clear-minded,Patient,Enthusiastic,Normal
Clear-minded,Clear-minded,Ready to go,Few mistakes,Positive outlook,Challenging but good,Positive outlook,Positive outlook,Refreshed,Good focus,Ready to go,Refreshed,Emotionally stable,Positive outlook,Positive outlook,Focused,Challenging but good,Positive outlook,Refreshed,In good physical condition,Normal
I recharge through entertainment,Emotionally stable,Rarely feel tired,Emotionally stable,Good stamina,Mostly engaged,Emotionally stable,Patient,Few mistakes,Clear-minded,Foggy mind,I recharge through entertainment,Invested,Good focus,Positive outlook,Enthusiastic,Rarely feel tired,Quick to anger,Forgetful,Emotionally stable,Normal
Focused,Focused,Few mistakes,Mostly engaged,I recharge through entertainment,Patient,Drained,Ready to go,Good stamina,Positive outlook,Ready to go,Focused,Invested,Challenging but good,Self-aware,Enthusiastic,Positive outlook,Mostly engaged,I recharge through entertainment,Self-aware,Normal
Good focus,Self-aware,No energy at all,Not motivated,Foggy mind,Loses focus,Refreshed,Good stamina,Self-aware,Enthusiastic,I recharge through entertainment,Invested,Patient,Mostly engaged,Good stamina,Mostly engaged,Mostly engaged,Ready to go,Focused,Focused,Normal
Refreshed,Mostly engaged,Patient,Self-aware,Enthusiastic,Refreshed,Enthusiastic,In good physical condition,Low mood,Ready to go,Mostly engaged,Challenging but good,Positive outlook,Focused,Clear-minded,Clear-minded,Ready to go,Self-aware,Good stamina,I recharge through entertainment,Normal
Sharp memory,Few mistakes,Sharp memory,Easily distracted,Sharp memory,Sharp memory,Sharp memory,Patient,Focused,Sharp memory,Good focus,Enthusiastic,Rarely feel tired,Enthusiastic,Low mood,Enthusiastic,Self-aware,Challenging but good,Quick to anger,Clear-minded,Normal
Good stamina,Challenging but good,Self-aware,No energy at all,Patient,Challenging but good,Positive outlook,Positive outlook,Emotionally stable,Positive outlook,Positive outlook,Focused,Invested,Positive outlook,Few mistakes,Refreshed,Invested,Challenging but good,Forgetful,Focused,Normal
Ready to go,Refreshed,Focused,Foggy mind,In good physical condition,I recharge through entertainment,Patient,Good focus,Sharp memory,Drained,Good stamina,Mostly engaged,Challenging but good,Good focus,Focused,Patient,Ready to go,Self-aware,Self-aware,Challenging but good,Normal
Ready to go,Drained,Drained,Good focus,Easily distracted,Good focus,Self-aware,Good stamina,Ready to go,In good physical condition,Easily distracted,Clear-minded,In good physical condition,Ready to go,Emotionally stable,Mostly engaged,Refreshed,Refreshed,Good focus,Sharp memory,Normal
Challenging but good,Positive outlook,Always distracted,Positive outlook,Patient,Positive outlook,Refreshed,Positive outlook,Good stamina,I recharge through entertainment,Invested,Positive outlook,In good physical condition,Few mistakes,Good stamina,In good physical condition,Focused,Sharp memory,Clear-minded,Emotionally stable,Normal
No energy at all,Forgetful,Good stamina,Challenging but good,Sharp memory,Quick to anger,Sharp memory,Refreshed,Good stamina,Patient,I recharge through entertainment,Emotionally stable,Few mistakes,Drained,Positive outlook,Challenging but good,In good physical condition,Easily distracted,Emotionally stable,Not motivated,Normal
Self-aware,Ready to go,Positive outlook,Refreshed,Positive outlook,Mostly engaged,Emotionally stable,In good physical condition,Clear-minded,Emotionally stable,I recharge through entertainment,Sharp memory,Enthusiastic,Rarely feel tired,Challenging but good,Positive outlook,Drained,Clear-minded,Ready to go,Mostly engaged,Normal
Invested,Emotionally stable,Invested,Good stamina,No energy at all,Focused,Enthusiastic,Clear-minded,Mostly engaged,Focused,Enthusiastic,Clear-minded,Few mistakes,Clear-minded,No energy at all,Challenging but good,Invested,Sharp memory,Invested,Positive outlook,Normal
Always distracted,Refreshed,In good physical condition,Enthusiastic,Foggy mind,Rarely feel tired,Foggy mind,Not motivated,Good focus,Easily distracted,Few mistakes,Challenging but good,Focused,Refreshed,Focused,In good physical condition,Self-aware,Mostly engaged,In good physical condition,Mostly engaged,Normal
Challenging but good,Challenging but good,Enthusiastic,Good stamina,No energy at all,Refreshed,Ready to go,Mostly engaged,Enthusiastic,Clear-minded,Few mistakes,Enthusiastic,Emotionally stable,Good focus,Invested,Not motivated,Not motivated,Patient,Few mistakes,I recharge through entertainment,Normal
Refreshed,Good focus,Enthusiastic,Good focus,Refreshed,In good physical condition,Self-aware,Good focus,Positive outlook,I recharge through entertainment,Sharp memory,Forgetful,In good physical condition,Challenging but good,Few mistakes,Challenging but good,Enthusiastic,In good physical condition,Sharp memory,Easily distracted,Normal
Invested,Emotionally stable,Sharp memory,In good physical condition,Focused,Loses focus,Quick to anger,Sharp memory,Not motivated,No energy at all,Foggy mind,Loses focus,Self-aware,Focused,Ready to go,Ready to go,Emotionally stable,Always distracted,Mostly engaged,Good stamina,Normal
Invested,Mostly engaged,Self-aware,I recharge through entertainment,Challenging but good,Patient,Foggy mind,Few mistakes,Mostly engaged,Positive outlook,Good focus,Good stamina,Quick to anger,Self-aware,No energy at all,Easily distracted,Refreshed,Clear-minded,No energy at all,Good focus,Normal
Challenging but good,Patient,I recharge through entertainment,Good stamina,Mostly engaged,In good physical condition,Patient,Enthusiastic,In good physical condition,Clear-minded,Positive outlook,Patient,Emotionally stable,Self-aware,Clear-minded,Self-aware,Always distracted,Good focus,Emotionally stable,In good physical condition,Normal
Positive outlook,Mostly engaged,Patient,I recharge through entertainment,Challenging but good,Good focus,I recharge through entertainment,In good physical condition,Self-aware,Enthusiastic,Clear-minded,Self-aware,In good physical condition,Challenging but good,Emotionally stable,Enthusiastic,Emotionally stable,Enthusiastic,Positive outlook,Enthusiastic,Normal
Focused,Ready to go,Patient,Clear-minded,Self-aware,Focused,Patient,Ready to go,Focused,Emotionally stable,Clear-minded,In good physical condition,Challenging but good,Self-aware,Mostly engaged,Mostly engaged,Invested,Emotionally stable,Positive outlook,Enthusiastic,Normal
Refreshed,Sharp memory,Sharp memory,Patient,Good stamina,Good focus,I recharge through entertainment,Good focus,Focused,Good stamina,Enthusiastic,Self-aware,Mostly engaged,In good physical condition,Invested,I recharge through entertainment,Easily distracted,Mostly engaged,Refreshed,Sharp memory,Normal
Loses focus,Invested,Few mistakes,Foggy mind,Self-aware,Positive outlook,Refreshed,Clear-minded,Ready to go,Few mistakes,Good stamina,Few mistakes,Focused,Drained,Good focus,Ready to go,Refreshed,Emotionally stable,No energy at all,Ready to go,Normal
Mostly engaged,Good focus,Positive outlook,Clear-minded,Patient,Loses focus,Good focus,Enthusiastic,Quick to anger,Invested,Enthusiastic,Ready to go,Focused,Invested,Mostly engaged,Good stamina,Ready to go,Drained,Indifferent,Ready to go,Normal
Refreshed,Few mistakes,Few mistakes,Sharp memory,Sharp memory,Self-aware,Few mistakes,Focused,Good stamina,Sharp memory,Ready to go,Good stamina,Clear-minded,Good stamina,Self-aware,Positive outlook,Clear-minded,Refreshed,Clear-minded,Focused,Normal
Sharp memory,Few mistakes,Low mood,Self-aware,Clear-minded,Refreshed,Emotionally stable,Drained,Quick to anger,Good focus,Good stamina,I recharge through entertainment,Drained,Not motivated,Mostly engaged,In good physical condition,Positive outlook,Invested,Positive outlook,Easily distracted,Normal
Quick to anger,Drained,Rarely feel tired,Sharp memory,Enthusiastic,Refreshed,Emotionally stable,In good physical condition,No energy at all,Focused,Good focus,Invested,Sharp memory,Enthusiastic,Positive outlook,In good physical condition,In good physical condition,In good physical condition,Focused,Self-aware,Normal
Enthusiastic,Refreshed,Emotionally stable,Clear-minded,Positive outlook,Good focus,Mostly engaged,Self-aware,I recharge through entertainment,Challenging but good,Challenging but good,Emotionally stable,Mostly engaged,Forgetful,Focused,Sharp memory,Ready to go,Challenging but good,Foggy mind,Invested,Normal
